spnum,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
2,76,87.625,64.25,71.25,79,67.875,60.75,58.25,29.75,33,27.375,34.375,34.5,28.625,28.625,32.125,39.25,44
3,36.875,33.125,24,25.3,29.925,35,40.625,22.725,24.525,34.125,36.5,39,34.125,34.125,34.125,34.125,34.125,36.625
4,0.75,0.725,0.35,0.475,1.7,1.5,0.75,0.875,9,3,3.475,2.125,1.225,1.35,3.075,2.975,1.625,1.875
5,0.55,0.55,,0.275,0.375,4.525,2.15,1.55,2.425,0.9,0.75,0.75,0.3,0.3,0.65,0.65,0.65,0.5
6,0.2,2.25,0.425,0.7,0.85,4.3,4.425,3.875,6.15,0.925,0.9,0.65,0.125,0.125,0.175,0.175,0.125,0.05
11,,0.675,0.5,0.325,0.5,2.775,1.675,0.2,4.825,1.425,1.175,0.625,0.175,0.025,0.5,0.175,0.2,
12,1.375,,0.175,0.225,0.475,0.375,0.75,0.05,2.475,5.85,2.2,1.3,4.55,3.45,1.975,0.875,0.425,1.25
13,,,,,,0.025,0.05,0.05,,,,,,,,,,
14,0.5,0.5,0.25,0.55,0.725,0.475,2.35,1.25,5.25,4.8,2.5,3,1.75,1.5,0.425,0.475,0.475,0.725
15,8.025,13.275,10.15,4,3.725,3.2,3.45,4.225,4.8,4.35,5.95,6.675,6.55,3.025,3.025,3.025,3.475,4.1
17,0.025,0.025,0.05,0.05,0.025,0.125,0.025,,,,,,,0.025,,0.025,,
18,42.15,54.75,52.375,46.75,25.05,11.2,8.4,1.125,15,15,24,18.375,15.525,14.925,13.8,13.2,13.8,14.925
21,0.175,0.025,0.025,0.025,0.325,1.025,0.4,1.2,5.4,0.8,0.825,0.425,0.5,0.5,0.5,0.375,0.4,0.4
23,0.875,0.65,0.1,0.2,1,2.05,0.525,1.275,3.45,0.75,0.9,0.9,0.525,0.525,0.525,0.55,0.65,0.525
30,,,,,,,,,,,,,,,,,0.025,
31,,,,0.325,0.525,0.625,0.85,0.825,0.975,,,,0.2,0.1,0.05,0.1,0.225,0.375
32,0.275,0.2,0.1,0.1,,,,,,,,,,0.05,0.025,,,
33,0.1,0.15,0.425,0.825,0.725,0.875,1.675,0.95,5.25,,,,,,1.625,1.75,0.875,1.25
34,0.175,0.15,0.2,0.225,0.575,0.175,0.425,0.175,,,,0.6,0.25,0.425,0.075,0.125,0.2,0.2
36,0.4,0.225,0.375,0.25,0.15,0.15,0.225,0.15,,,,,,0.05,,0.175,,0.2
40,1.325,1.275,2.7,3.5,4.575,3.1,5.8,3.95,5.85,2.175,3,6,6.975,7,3.15,5.2,7.125,5.05
41,0.2,0.2,0.5,1.65,0.325,1.65,0.95,1.675,1.05,0.6,1.2,1.8,1.55,1.55,1.525,0.925,1.675,1.675
42,0.025,,0.025,0.025,0.025,0.025,,0.15,0.15,0.025,,0.15,0.025,0.025,0.025,0.025,0.15,0.15
44,0.05,0.05,0.075,0.05,0.05,,0.025,0.025,0.025,0.025,,0.05,0.05,,0.025,0.025,0.025,0.025
46,1.35,2.45,2.325,6.325,4.75,1.25,4.425,4.8,1.75,2.45,2.025,3.325,2.8,2.2,2.675,3.425,1.875,2.025
49,0.05,,0.025,,0.025,,0.025,0.025,0.175,0.025,,0.025,0.025,0.025,,,,
50,0.075,,,,,,,,,,,,,,,,,
52,0.225,0.075,0.075,0.125,0.225,0.1,0.2,0.1,0.025,0.1,0.1,0.225,0.1,0.1,0.05,0.075,0.1,0.25
54,0.125,0.025,0.075,,0.075,0.05,0.075,0.025,0.2,0.2,0.125,0.05,0.15,0.1,0.075,0.1,0.05,0.05
55,0.025,0.05,0.025,0.05,0.05,0.05,0.05,0.175,0.3,0.3,0.225,0.1,0.1,0.1,0.05,0.1,0.1,0.125
56,0.15,0.175,0.6,1.325,0.175,0.2,0.575,0.175,1.925,1,1.4,1.725,0.55,0.35,0.2,0.325,0.3,0.575
58,0.875,2.65,0.85,0.675,0.625,2.825,1.95,4.5,2.5,2.625,1.95,2,1.625,1.625,0.625,0.85,1.875,2.25
59,0.15,0.15,0.7,0.05,0.525,1.1,0.275,0.4,0.925,0.625,0.45,0.75,0.65,0.65,0.275,0.25,0.5,0.5
60,0.075,0.05,0.175,0.05,0.1,0.4,0.25,0.375,0.625,0.375,0.2,0.025,0.125,0.125,0.1,0.075,0.05,0.15
61,,,0.025,,,,,0.025,,,,,,,,,,
65,,,,,,0.025,,,,,,0.025,0.025,,,,,
66,0.3,0.25,0.475,0.925,0.975,0.875,1.375,1.125,2.05,2.475,1.825,1.575,0.7,0.725,0.575,0.45,0.35,0.975
67,,,,0.175,,,,,,,,,,,,,,
69,0.05,0.05,0.175,0.05,0.175,0.05,0.175,0.2,0.175,0.3,0.175,0.15,0.025,0.025,0.025,0.025,0.025,0.025
70,0.1,0.15,0.325,0.9,0.325,0.175,0.15,0.25,0.5,0.525,0.375,1.1,0.25,0.25,0.25,0.125,0.275,0.425
73,,,,,,,,,0.05,0.15,,,0.025,,,,,
77,0.75,0.2,0.35,0.1,0.15,0.025,0.075,0.05,1.525,1.8,0.025,0.25,0.2,0.125,0.15,0.25,0.4,0.2
78,0.025,0.025,,0.05,,,0.025,0.075,,,,,0.025,0.025,,0.025,,
80,,,0.05,0.05,,,,,,,,,,,,,0.025,
83,0.025,0.025,,0.175,0.025,0.025,0.025,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,0.025
86,0.6,1.45,1.1,0.9,1.175,1.175,0.625,1.575,1.05,1.075,1.725,2.275,0.45,0.475,0.425,0.45,1.325,0.575
90,0.375,0.35,1.1,1.7,0.975,1.125,1,0.65,0.7,0.675,0.3,0.675,0.3,0.325,0.125,0.1,0.175,0.15
91,,,0.05,,,,,,,,,,,,,,,
92,,,,0.025,,,0.125,,,0.025,,0.025,,0.025,,,,
102,,,0.025,0.05,,,,0.025,0.05,0.025,,,,0.025,,,,
106,0.025,0.05,0.05,0.05,0.075,0.05,0.075,0.475,0.35,0.2,0.35,0.35,0.05,0.075,0.15,0.1,0.175,0.2
107,0.05,,,,,,,,0.025,0.025,,,,,,,,
109,0.625,0.35,1.475,2.35,2.2,1.05,2,1.875,2.2,1.575,1.825,1.05,0.25,0.25,0.175,0.25,0.175,0.225
111,0.15,0.15,0.1,0.4,0.075,0.1,0.1,0.225,0.95,0.775,0.65,0.8,0.35,0.425,0.325,0.175,0.225,0.175
112,,,,,,,,,,,,,,0.025,,,,
116,,,0.025,0.025,,0.05,0.225,0.375,0.125,0.1,0.025,0.075,0.075,0.075,0.075,0.05,0.05,0.075
117,,,,,,,,,,0.025,,,,,,,,
118,0.25,0.175,0.475,0.175,0.3,0.15,0.15,0.475,0.025,0.025,0.025,0.05,0.075,0.05,0.05,0.05,0.075,0.05
120,0.35,0.35,0.65,0.5,0.4,0.275,0.275,0.625,2,2.175,2.15,2.475,1.275,1.275,0.9,0.9,0.775,1.25
121,3.3,4.175,3.475,3.775,4.225,3.625,4.325,4.3,2.425,1.975,3.15,5.4,4.15,4.15,2.3,3.55,3.6,3.6
122,0.175,0.05,0.3,0.3,0.3,0.3,0.9,0.3,1.5,0.9,0.9,0.9,0.3,0.3,0.325,0.325,0.925,0.9
123,,,0.025,0.025,,,,0.025,,,,,,0.025,0.025,0.025,0.025,
125,0.175,,0.075,0.125,0.125,,0.075,0.075,,,,,0.1,0.175,0.05,,,0.15
126,,0.025,0.025,,,,,,0.15,,,,,,,,0.025,0.025
127,,,0.025,,,,,,0.15,0.025,,,,,,,0.025,
128,0.475,0.475,0.775,0.825,1.625,0.85,0.8,0.775,,0.05,0.025,0.025,0.075,0.1,0.125,,0.05,0.075
134,,,0.025,,,0.025,,,0.025,,0.025,0.025,0.025,0.025,0.025,,,
135,,,,0.025,0.025,,,,,0.025,,,,,,,,
139,0.1,0.025,,0.025,,,0.025,,,,,,,,,,,
140,1.7,1.575,0.775,1.55,1.825,1.45,3.275,4.6,2.45,1.9,1.775,2.925,2.05,1.05,0.7,0.95,1.825,1.7
143,,,,,,,,,,,,,,,,,,0.05
145,0.025,0.025,0.025,0.15,0.025,,,,,,,,,,,,,
147,,,,,,,,0.025,,,,,,,,,,
150,0.075,,,,,,,,,,,,,,,,,
152,0.05,0.05,0.075,0.125,0.1,0.1,0.225,0.1,0.075,0.075,0.25,0.125,0.1,0.1,0.05,0.1,0.075,0.05
161,,,,,,,0.025,,0.05,,,,,,,,,
168,,,0.05,0.025,,,0.025,,0.775,,,,0.025,,,,,
180,0.025,,,,,,,,,,,,,,,,,
210,,,,,,,,,0.025,4.65,3.35,3.925,1.375,1.5,,,,
216,,,,,,,,,0.025,,,,0.025,0.025,0.025,,,
228,,,,,,,,,,,,,,,,0.025,0.025,0.025
251,,,,0.025,,,0.025,,,,,,,,,,,
253,,0.025,0.05,0.05,,,,,,,0.025,0.025,,0.025,0.025,,,
275,0.025,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,0.025,,
301,,0.025,,,,,,,,,,,,,,,,
338,,0.025,,,,,,,,,,,,,,,,
384,,,,,,0.025,,,,,,,,,,,,
407,,,,,,,,,,,,0.025,,,,,,
