replicate,year,species,abundance
annually burned,1984,achimill,0.05
annually burned,1984,ambrpsil,1.35
annually burned,1984,amorcane,1.325
annually burned,1984,andrgera,76
annually burned,1984,antenegl,0.05
annually burned,1984,apoccann,0.075
annually burned,1984,arteludo,0.225
annually burned,1984,asclsten,0.125
annually burned,1984,asclvert,0.025
annually burned,1984,asclvird,0.2
annually burned,1984,asteeric,0.875
annually burned,1984,asteoblo,0.15
annually burned,1984,asteseri,0.075
annually burned,1984,baptbrac,0.3
annually burned,1984,boutcurt,0.75
annually burned,1984,boutgrac,0.55
annually burned,1984,callinvo,0.05
annually burned,1984,ceanherb,0.2
annually burned,1984,cirsundu,0.1
annually burned,1984,cypelupu,0.4
annually burned,1984,dicholig,0.5
annually burned,1984,koelpyra,1.375
annually burned,1984,panivirg,8.025
annually burned,1984,poaprat,0.025
annually burned,1984,rosaarka,0.025
annually burned,1984,sorgnuta,42.15
annually burned,1984,sporaspe,0.175
annually burned,1984,sporhete,0.875
annually burned,1984,erigstri,0.75
annually burned,1984,euphmarg,0.025
annually burned,1984,hierlong,0.025
annually burned,1984,kuhneupa,0.6
annually burned,1984,lespcapi,0.375
annually burned,1984,dalecand,0.025
annually burned,1984,dalepurp,0.625
annually burned,1984,physpumi,0.15
annually burned,1984,raticolu,0.25
annually burned,1984,ruelhumi,0.35
annually burned,1984,salvpitc,3.3
annually burned,1984,schrnutt,0.175
annually burned,1984,sisycamp,0.175
annually burned,1984,solimiss,0.475
annually burned,1984,verbstri,0.1
annually burned,1984,vernbald,1.7
annually burned,1984,desmilli,0.025
annually burned,1984,agrohyem,0.075
annually burned,1984,andrscop,36.875
annually burned,1984,bouthirs,0.2
annually burned,1984,caregrav,0.275
annually burned,1984,careheli,0.1
annually burned,1984,caremead,0.175
annually burned,1984,dalemult,0.05
annually burned,1984,silplaci,0.025
annually burned,1984,teuccana,0.025
annually burned,1985,achimill,0.05
annually burned,1985,ambrpsil,2.45
annually burned,1985,amorcane,1.275
annually burned,1985,andrgera,87.625
annually burned,1985,arteludo,0.075
annually burned,1985,asclsten,0.025
annually burned,1985,asclvert,0.05
annually burned,1985,asclvird,0.225
annually burned,1985,asteeric,2.65
annually burned,1985,asteoblo,0.15
annually burned,1985,asteseri,0.05
annually burned,1985,baptbrac,0.25
annually burned,1985,boutcurt,0.725
annually burned,1985,boutgrac,0.55
annually burned,1985,callinvo,0.05
annually burned,1985,ceanherb,0.2
annually burned,1985,cirsundu,0.15
annually burned,1985,cypelupu,0.225
annually burned,1985,dicholig,0.5
annually burned,1985,eragspec,0.675
annually burned,1985,panivirg,13.275
annually burned,1985,poaprat,0.025
annually burned,1985,sorgnuta,54.75
annually burned,1985,sporaspe,0.025
annually burned,1985,sporhete,0.65
annually burned,1985,erigstri,0.2
annually burned,1985,euphmarg,0.025
annually burned,1985,hierlong,0.025
annually burned,1985,kuhneupa,1.45
annually burned,1985,lespcapi,0.35
annually burned,1985,dalecand,0.05
annually burned,1985,dalepurp,0.35
annually burned,1985,physpumi,0.15
annually burned,1985,raticolu,0.175
annually burned,1985,ruelhumi,0.35
annually burned,1985,salvpitc,4.175
annually burned,1985,schrnutt,0.05
annually burned,1985,solacaro,0.025
annually burned,1985,solimiss,0.475
annually burned,1985,verbstri,0.025
annually burned,1985,vernbald,1.575
annually burned,1985,desmilli,0.025
annually burned,1985,miraline,0.025
annually burned,1985,andrscop,33.125
annually burned,1985,bouthirs,2.25
annually burned,1985,caregrav,0.2
annually burned,1985,careheli,0.15
annually burned,1985,caremead,0.15
annually burned,1985,euphmiss,0.025
annually burned,1985,planpata,0.025
annually burned,1986,achimill,0.075
annually burned,1986,ambrpsil,2.325
annually burned,1986,amorcane,2.7
annually burned,1986,andrgera,64.25
annually burned,1986,antenegl,0.025
annually burned,1986,arteludo,0.075
annually burned,1986,asclsten,0.075
annually burned,1986,asclvert,0.025
annually burned,1986,asclvird,0.675
annually burned,1986,asteeric,0.85
annually burned,1986,asteoblo,0.7
annually burned,1986,asteseri,0.175
annually burned,1986,astrcras,0.025
annually burned,1986,baptbrac,0.475
annually burned,1986,boutcurt,0.35
annually burned,1986,callinvo,0.175
annually burned,1986,ceanherb,0.5
annually burned,1986,cirsundu,0.325
annually burned,1986,cypelupu,0.375
annually burned,1986,dicholig,0.25
annually burned,1986,eragspec,0.5
annually burned,1986,koelpyra,0.175
annually burned,1986,panivirg,10.15
annually burned,1986,poaprat,0.05
annually burned,1986,rosaarka,0.025
annually burned,1986,sorgnuta,52.375
annually burned,1986,sporaspe,0.025
annually burned,1986,sporhete,0.1
annually burned,1986,erigstri,0.35
annually burned,1986,kuhneupa,1.1
annually burned,1986,lespcapi,1.1
annually burned,1986,liatpunc,0.05
annually burned,1986,oxalstri,0.025
annually burned,1986,dalecand,0.05
annually burned,1986,dalepurp,1.475
annually burned,1986,physpumi,0.1
annually burned,1986,psorescu,0.025
annually burned,1986,raticolu,0.475
annually burned,1986,ruelhumi,0.65
annually burned,1986,salvpitc,3.475
annually burned,1986,schrnutt,0.3
annually burned,1986,seneplat,0.025
annually burned,1986,sisycamp,0.075
annually burned,1986,solacaro,0.025
annually burned,1986,solicana,0.025
annually burned,1986,solimiss,0.775
annually burned,1986,tragbeto,0.025
annually burned,1986,vernbald,0.775
annually burned,1986,desmilli,0.025
annually burned,1986,leptcogn,0.05
annually burned,1986,miraline,0.05
annually burned,1986,andrscop,24
annually burned,1986,bouthirs,0.425
annually burned,1986,caregrav,0.1
annually burned,1986,careheli,0.425
annually burned,1986,caremead,0.2
annually burned,1986,euphglyp,0.05
annually burned,1987,achimill,0.05
annually burned,1987,ambrpsil,6.325
annually burned,1987,amorcane,3.5
annually burned,1987,andrgera,71.25
annually burned,1987,arteludo,0.125
annually burned,1987,asclvert,0.05
annually burned,1987,asclvird,1.45
annually burned,1987,asteeric,0.675
annually burned,1987,asteoblo,0.05
annually burned,1987,asteseri,0.05
annually burned,1987,baptbrac,0.925
annually burned,1987,boutcurt,0.475
annually burned,1987,boutgrac,0.275
annually burned,1987,callinvo,0.05
annually burned,1987,ceanherb,1.65
annually burned,1987,cirsundu,0.9
annually burned,1987,cypelupu,0.25
annually burned,1987,dicholig,0.55
annually burned,1987,eragspec,0.325
annually burned,1987,koelpyra,0.225
annually burned,1987,panivirg,4
annually burned,1987,poaprat,0.05
annually burned,1987,rosaarka,0.025
annually burned,1987,sorgnuta,46.75
annually burned,1987,sporaspe,0.025
annually burned,1987,sporhete,0.2
annually burned,1987,erigstri,0.1
annually burned,1987,euphmarg,0.05
annually burned,1987,hierlong,0.175
annually burned,1987,kuhneupa,0.9
annually burned,1987,lespcapi,1.7
annually burned,1987,linusulc,0.025
annually burned,1987,oxalstri,0.05
annually burned,1987,dalecand,0.05
annually burned,1987,dalepurp,2.35
annually burned,1987,physpumi,0.4
annually burned,1987,psorescu,0.025
annually burned,1987,raticolu,0.175
annually burned,1987,ruelhumi,0.5
annually burned,1987,salvpitc,3.775
annually burned,1987,schrnutt,0.3
annually burned,1987,seneplat,0.025
annually burned,1987,sisycamp,0.125
annually burned,1987,solimiss,0.825
annually burned,1987,tragdubi,0.025
annually burned,1987,verbstri,0.025
annually burned,1987,vernbald,1.55
annually burned,1987,desmilli,0.15
annually burned,1987,leptcogn,0.025
annually burned,1987,dicaacum,0.025
annually burned,1987,miraline,0.05
annually burned,1987,andrscop,25.3
annually burned,1987,bouthirs,0.7
annually burned,1987,cacaplan,0.175
annually burned,1987,carebrev,0.325
annually burned,1987,caregrav,0.1
annually burned,1987,careheli,0.825
annually burned,1987,caremead,0.225
annually burned,1987,euphglyp,0.05
annually burned,1988,achimill,0.05
annually burned,1988,ambrpsil,4.75
annually burned,1988,amorcane,4.575
annually burned,1988,andrgera,79
annually burned,1988,antenegl,0.025
annually burned,1988,arteludo,0.225
annually burned,1988,asclsten,0.075
annually burned,1988,asclvert,0.05
annually burned,1988,asclvird,0.275
annually burned,1988,asteeric,0.625
annually burned,1988,asteoblo,0.525
annually burned,1988,asteseri,0.1
annually burned,1988,baptbrac,0.975
annually burned,1988,boutcurt,1.7
annually burned,1988,boutgrac,0.375
annually burned,1988,callinvo,0.175
annually burned,1988,ceanherb,0.325
annually burned,1988,cirsundu,0.325
annually burned,1988,cypelupu,0.15
annually burned,1988,dicholig,0.725
annually burned,1988,eragspec,0.5
annually burned,1988,koelpyra,0.475
annually burned,1988,panivirg,3.725
annually burned,1988,poaprat,0.025
annually burned,1988,rosaarka,0.025
annually burned,1988,sorgnuta,25.05
annually burned,1988,sporaspe,0.325
annually burned,1988,sporhete,1
annually burned,1988,erigstri,0.15
annually burned,1988,hierlong,0.025
annually burned,1988,kuhneupa,1.175
annually burned,1988,lespcapi,0.975
annually burned,1988,dalecand,0.075
annually burned,1988,dalepurp,2.2
annually burned,1988,physpumi,0.075
annually burned,1988,raticolu,0.3
annually burned,1988,ruelhumi,0.4
annually burned,1988,salvpitc,4.225
annually burned,1988,schrnutt,0.3
annually burned,1988,sisycamp,0.125
annually burned,1988,solimiss,1.625
annually burned,1988,tragdubi,0.025
annually burned,1988,vernbald,1.825
annually burned,1988,desmilli,0.025
annually burned,1988,andrscop,29.925
annually burned,1988,bouthirs,0.85
annually burned,1988,carebrev,0.525
annually burned,1988,careheli,0.725
annually burned,1988,caremead,0.575
annually burned,1989,ambrpsil,1.25
annually burned,1989,amorcane,3.1
annually burned,1989,andrgera,67.875
annually burned,1989,arteludo,0.1
annually burned,1989,asclsten,0.05
annually burned,1989,asclvert,0.05
annually burned,1989,asclvird,0.3
annually burned,1989,asteeric,2.825
annually burned,1989,asteoblo,1.1
annually burned,1989,asteseri,0.4
annually burned,1989,baptaust,0.025
annually burned,1989,baptbrac,0.875
annually burned,1989,boutcurt,1.5
annually burned,1989,boutgrac,4.525
annually burned,1989,callinvo,0.05
annually burned,1989,ceanherb,1.65
annually burned,1989,cirsundu,0.175
annually burned,1989,cypelupu,0.15
annually burned,1989,dicholig,0.475
annually burned,1989,eragspec,2.775
annually burned,1989,koelpyra,0.375
annually burned,1989,muhlcusp,0.025
annually burned,1989,panivirg,3.2
annually burned,1989,poaprat,0.125
annually burned,1989,rosaarka,0.025
annually burned,1989,sorgnuta,11.2
annually burned,1989,sporaspe,1.025
annually burned,1989,sporhete,2.05
annually burned,1989,erigstri,0.025
annually burned,1989,hierlong,0.025
annually burned,1989,kuhneupa,1.175
annually burned,1989,lespcapi,1.125
annually burned,1989,dalecand,0.05
annually burned,1989,dalepurp,1.05
annually burned,1989,physpumi,0.1
annually burned,1989,psorescu,0.05
annually burned,1989,raticolu,0.15
annually burned,1989,ruelhumi,0.275
annually burned,1989,salvpitc,3.625
annually burned,1989,schrnutt,0.3
annually burned,1989,solimiss,0.85
annually burned,1989,tragbeto,0.025
annually burned,1989,vernbald,1.45
annually burned,1989,solaamer,0.025
annually burned,1989,andrscop,35
annually burned,1989,bouthirs,4.3
annually burned,1989,carebrev,0.625
annually burned,1989,careheli,0.875
annually burned,1989,caremead,0.175
annually burned,1990,achimill,0.025
annually burned,1990,ambrpsil,4.425
annually burned,1990,amorcane,5.8
annually burned,1990,andrgera,60.75
annually burned,1990,antenegl,0.025
annually burned,1990,arteludo,0.2
annually burned,1990,asclsten,0.075
annually burned,1990,asclvert,0.05
annually burned,1990,asclvird,0.8
annually burned,1990,asteeric,1.95
annually burned,1990,asteoblo,0.275
annually burned,1990,asteseri,0.25
annually burned,1990,baptbrac,1.375
annually burned,1990,boutcurt,0.75
annually burned,1990,boutgrac,2.15
annually burned,1990,callinvo,0.175
annually burned,1990,ceanherb,0.95
annually burned,1990,cirsundu,0.15
annually burned,1990,cypelupu,0.225
annually burned,1990,dicholig,2.35
annually burned,1990,eragspec,1.675
annually burned,1990,koelpyra,0.75
annually burned,1990,muhlcusp,0.05
annually burned,1990,panivirg,3.45
annually burned,1990,poaprat,0.025
annually burned,1990,sorgnuta,8.4
annually burned,1990,sporaspe,0.4
annually burned,1990,sporhete,0.525
annually burned,1990,erigstri,0.075
annually burned,1990,euphmarg,0.025
annually burned,1990,hierlong,0.025
annually burned,1990,kuhneupa,0.625
annually burned,1990,lespcapi,1
annually burned,1990,linusulc,0.125
annually burned,1990,dalecand,0.075
annually burned,1990,dalepurp,2
annually burned,1990,physpumi,0.1
annually burned,1990,psorescu,0.225
annually burned,1990,raticolu,0.15
annually burned,1990,ruelhumi,0.275
annually burned,1990,salvpitc,4.325
annually burned,1990,schrnutt,0.9
annually burned,1990,sisycamp,0.075
annually burned,1990,solimiss,0.8
annually burned,1990,verbstri,0.025
annually burned,1990,vernbald,3.275
annually burned,1990,asclsyri,0.025
annually burned,1990,leptcogn,0.025
annually burned,1990,dicaacum,0.025
annually burned,1990,andrscop,40.625
annually burned,1990,bouthirs,4.425
annually burned,1990,carebrev,0.85
annually burned,1990,careheli,1.675
annually burned,1990,caremead,0.425
annually burned,1991,achimill,0.025
annually burned,1991,ambrpsil,4.8
annually burned,1991,amorcane,3.95
annually burned,1991,andrgera,58.25
annually burned,1991,antenegl,0.025
annually burned,1991,arteludo,0.1
annually burned,1991,asclsten,0.025
annually burned,1991,asclvert,0.175
annually burned,1991,asclvird,0.275
annually burned,1991,asteeric,4.5
annually burned,1991,asteoblo,0.4
annually burned,1991,asteseri,0.375
annually burned,1991,astrcras,0.025
annually burned,1991,baptbrac,1.125
annually burned,1991,boutcurt,0.875
annually burned,1991,boutgrac,1.55
annually burned,1991,callinvo,0.2
annually burned,1991,ceanherb,1.675
annually burned,1991,cirsundu,0.25
annually burned,1991,cypelupu,0.15
annually burned,1991,dicholig,1.25
annually burned,1991,eragspec,0.2
annually burned,1991,koelpyra,0.05
annually burned,1991,muhlcusp,0.05
annually burned,1991,panivirg,4.225
annually burned,1991,rosaarka,0.15
annually burned,1991,sorgnuta,1.125
annually burned,1991,sporaspe,1.2
annually burned,1991,sporhete,1.275
annually burned,1991,erigstri,0.05
annually burned,1991,euphmarg,0.075
annually burned,1991,kuhneupa,1.575
annually burned,1991,lespcapi,0.65
annually burned,1991,oxalstri,0.025
annually burned,1991,dalecand,0.475
annually burned,1991,dalepurp,1.875
annually burned,1991,physpumi,0.225
annually burned,1991,psorescu,0.375
annually burned,1991,raticolu,0.475
annually burned,1991,ruelhumi,0.625
annually burned,1991,salvpitc,4.3
annually burned,1991,schrnutt,0.3
annually burned,1991,seneplat,0.025
annually burned,1991,sisycamp,0.075
annually burned,1991,solimiss,0.775
annually burned,1991,vernbald,4.6
annually burned,1991,violpeda,0.025
annually burned,1991,andrscop,22.725
annually burned,1991,bouthirs,3.875
annually burned,1991,carebrev,0.825
annually burned,1991,careheli,0.95
annually burned,1991,caremead,0.175
annually burned,1992,achimill,0.025
annually burned,1992,ambrpsil,1.75
annually burned,1992,amorcane,5.85
annually burned,1992,andrgera,29.75
annually burned,1992,antenegl,0.175
annually burned,1992,arteludo,0.025
annually burned,1992,asclsten,0.2
annually burned,1992,asclvert,0.3
annually burned,1992,asclvird,2
annually burned,1992,asteeric,2.5
annually burned,1992,asteoblo,0.925
annually burned,1992,asteseri,0.625
annually burned,1992,baptbrac,2.05
annually burned,1992,boutcurt,9
annually burned,1992,boutgrac,2.425
annually burned,1992,callinvo,0.175
annually burned,1992,ceanherb,1.05
annually burned,1992,cirsundu,0.5
annually burned,1992,delpcaro,0.05
annually burned,1992,dicholig,5.25
annually burned,1992,eragspec,4.825
annually burned,1992,koelpyra,2.475
annually burned,1992,panivirg,4.8
annually burned,1992,rosaarka,0.15
annually burned,1992,sorgnuta,15
annually burned,1992,sporaspe,5.4
annually burned,1992,sporhete,3.45
annually burned,1992,erigstri,1.525
annually burned,1992,kuhneupa,1.05
annually burned,1992,lespcapi,0.7
annually burned,1992,oxalstri,0.05
annually burned,1992,dalecand,0.35
annually burned,1992,dalepurp,2.2
annually burned,1992,physpumi,0.95
annually burned,1992,psorescu,0.125
annually burned,1992,raticolu,0.025
annually burned,1992,ruelhumi,2
annually burned,1992,salvpitc,2.425
annually burned,1992,schrnutt,1.5
annually burned,1992,solacaro,0.15
annually burned,1992,solicana,0.15
annually burned,1992,tragbeto,0.025
annually burned,1992,vernbald,2.45
annually burned,1992,asclsyri,0.05
annually burned,1992,leptcogn,0.775
annually burned,1992,carespp.,0.025
annually burned,1992,andrscop,24.525
annually burned,1992,bouthirs,6.15
annually burned,1992,carebrev,0.975
annually burned,1992,careheli,5.25
annually burned,1992,dalemult,0.025
annually burned,1992,euphserp,0.025
annually burned,1993,achimill,0.025
annually burned,1993,ambrpsil,2.45
annually burned,1993,amorcane,2.175
annually burned,1993,andrgera,33
annually burned,1993,antenegl,0.025
annually burned,1993,arteludo,0.1
annually burned,1993,asclsten,0.2
annually burned,1993,asclvert,0.3
annually burned,1993,asclvird,1.075
annually burned,1993,asteeric,2.625
annually burned,1993,asteoblo,0.625
annually burned,1993,asteseri,0.375
annually burned,1993,baptbrac,2.475
annually burned,1993,boutcurt,3
annually burned,1993,boutgrac,0.9
annually burned,1993,callinvo,0.3
annually burned,1993,ceanherb,0.6
annually burned,1993,cirsundu,0.525
annually burned,1993,delpcaro,0.15
annually burned,1993,dicholig,4.8
annually burned,1993,eragspec,1.425
annually burned,1993,koelpyra,5.85
annually burned,1993,panivirg,4.35
annually burned,1993,rosaarka,0.025
annually burned,1993,sorgnuta,15
annually burned,1993,sporaspe,0.8
annually burned,1993,sporhete,0.75
annually burned,1993,erigstri,1.8
annually burned,1993,kuhneupa,1.075
annually burned,1993,lespcapi,0.675
annually burned,1993,linusulc,0.025
annually burned,1993,oxalstri,0.025
annually burned,1993,dalecand,0.2
annually burned,1993,dalepurp,1.575
annually burned,1993,physpumi,0.775
annually burned,1993,psorescu,0.1
annually burned,1993,raticolu,0.025
annually burned,1993,ruelhumi,2.175
annually burned,1993,salvpitc,1.975
annually burned,1993,schrnutt,0.9
annually burned,1993,solicana,0.025
annually burned,1993,solimiss,0.05
annually burned,1993,tragdubi,0.025
annually burned,1993,vernbald,1.9
annually burned,1993,carespp.,4.65
annually burned,1993,andrscop,34.125
annually burned,1993,bouthirs,0.925
annually burned,1993,dalemult,0.025
annually burned,1993,psortenu,0.025
annually burned,1994,ambrpsil,2.025
annually burned,1994,amorcane,3
annually burned,1994,andrgera,27.375
annually burned,1994,arteludo,0.1
annually burned,1994,asclsten,0.125
annually burned,1994,asclvert,0.225
annually burned,1994,asclvird,1.65
annually burned,1994,asteeric,1.95
annually burned,1994,asteoblo,0.45
annually burned,1994,asteseri,0.2
annually burned,1994,baptbrac,1.825
annually burned,1994,boutcurt,3.475
annually burned,1994,boutgrac,0.75
annually burned,1994,callinvo,0.175
annually burned,1994,ceanherb,1.2
annually burned,1994,cirsundu,0.375
annually burned,1994,dicholig,2.5
annually burned,1994,eragspec,1.175
annually burned,1994,koelpyra,2.2
annually burned,1994,panivirg,5.95
annually burned,1994,sorgnuta,24
annually burned,1994,sporaspe,0.825
annually burned,1994,sporhete,0.9
annually burned,1994,erigstri,0.025
annually burned,1994,kuhneupa,1.725
annually burned,1994,lespcapi,0.3
annually burned,1994,dalecand,0.35
annually burned,1994,dalepurp,1.825
annually burned,1994,physpumi,0.65
annually burned,1994,psorescu,0.025
annually burned,1994,raticolu,0.025
annually burned,1994,ruelhumi,2.15
annually burned,1994,salvpitc,3.15
annually burned,1994,schrnutt,0.9
annually burned,1994,solimiss,0.025
annually burned,1994,tragbeto,0.025
annually burned,1994,vernbald,1.775
annually burned,1994,carespp.,3.35
annually burned,1994,miraline,0.025
annually burned,1994,andrscop,36.5
annually burned,1994,bouthirs,0.9
annually burned,1995,achimill,0.05
annually burned,1995,ambrpsil,3.325
annually burned,1995,amorcane,6
annually burned,1995,andrgera,34.375
annually burned,1995,antenegl,0.025
annually burned,1995,arteludo,0.225
annually burned,1995,asclsten,0.05
annually burned,1995,asclvert,0.1
annually burned,1995,asclvird,1.85
annually burned,1995,asteeric,2
annually burned,1995,asteoblo,0.75
annually burned,1995,asteseri,0.025
annually burned,1995,baptaust,0.025
annually burned,1995,baptbrac,1.575
annually burned,1995,boutcurt,2.125
annually burned,1995,boutgrac,0.75
annually burned,1995,callinvo,0.15
annually burned,1995,ceanherb,1.8
annually burned,1995,cirsundu,1.1
annually burned,1995,dicholig,3
annually burned,1995,eragspec,0.625
annually burned,1995,koelpyra,1.3
annually burned,1995,panivirg,6.675
annually burned,1995,rosaarka,0.15
annually burned,1995,sorgnuta,18.375
annually burned,1995,sporaspe,0.425
annually burned,1995,sporhete,0.9
annually burned,1995,erigstri,0.25
annually burned,1995,kuhneupa,2.275
annually burned,1995,lespcapi,0.675
annually burned,1995,linusulc,0.025
annually burned,1995,dalecand,0.35
annually burned,1995,dalepurp,1.05
annually burned,1995,physpumi,0.8
annually burned,1995,psorescu,0.075
annually burned,1995,raticolu,0.05
annually burned,1995,ruelhumi,2.475
annually burned,1995,salvpitc,5.4
annually burned,1995,schrnutt,0.9
annually burned,1995,solimiss,0.025
annually burned,1995,tragbeto,0.025
annually burned,1995,vernbald,2.925
annually burned,1995,carespp.,3.925
annually burned,1995,miraline,0.025
